n,win_rate,avg_win_r,avg_loss_r,profit_factor,expectancy_r,total_r,max_dd_r,avg_bars,long_share,symbol,strategy,split,funding_p8h,bh_return,max_dd_pct,final_equity
369,0.4878,1.442,-0.893,1.537,0.2458,90.71,111.73,21.0,0.518,ADA/USDT:USDT,C1_BOS_H4v2,ALL,6.6e-05,-0.2448,0.181,24002.46
204,0.4706,1.517,-0.912,1.479,0.2312,47.16,66.95,21.0,0.578,ADA/USDT:USDT,C1_BOS_H4v2,TRAIN,6.6e-05,-0.2448,0.181,15737.65
165,0.5091,1.356,-0.869,1.619,0.2639,43.54,61.89,21.0,0.442,ADA/USDT:USDT,C1_BOS_H4v2,TEST,6.6e-05,-0.2448,0.1781,15251.61
126,0.1905,1.081,-1.005,0.253,-0.6077,-76.57,79.39,25.0,0.357,ADA/USDT:USDT,C2_MTF_SWEEP,ALL,6.6e-05,-0.2448,0.5511,4615.63
89,0.2247,0.956,-0.982,0.282,-0.5462,-48.61,50.57,25.0,0.281,ADA/USDT:USDT,C2_MTF_SWEEP,TRAIN,6.6e-05,-0.2448,0.3993,6119.21
37,0.1081,1.704,-1.054,0.196,-0.7556,-27.96,29.52,25.0,0.541,ADA/USDT:USDT,C2_MTF_SWEEP,TEST,6.6e-05,-0.2448,0.2571,7542.86
498,0.4478,1.184,-0.955,1.005,0.0028,1.4,52.99,25.0,0.458,ADA/USDT:USDT,C2_MTF_BASE,ALL,6.6e-05,-0.2448,0.4169,9796.67
340,0.4471,1.074,-0.965,0.9,-0.0534,-18.17,52.33,25.0,0.371,ADA/USDT:USDT,C2_MTF_BASE,TRAIN,6.6e-05,-0.2448,0.4169,8156.1
158,0.4494,1.419,-0.933,1.241,0.1239,19.58,37.56,25.0,0.646,ADA/USDT:USDT,C2_MTF_BASE,TEST,6.6e-05,-0.2448,0.1601,12011.46
400,0.4425,1.624,-0.888,1.451,0.2234,89.34,94.81,20.9,0.635,LINK/USDT:USDT,C1_BOS_H4v2,ALL,7.8e-05,1.1115,0.2553,23565.22
240,0.4292,1.636,-0.907,1.357,0.1847,44.33,53.78,21.0,0.588,LINK/USDT:USDT,C1_BOS_H4v2,TRAIN,7.8e-05,1.1115,0.2553,15242.59
160,0.4625,1.607,-0.859,1.609,0.2813,45.01,48.13,20.7,0.706,LINK/USDT:USDT,C1_BOS_H4v2,TEST,7.8e-05,1.1115,0.1771,15460.12
180,0.2611,1.069,-0.932,0.405,-0.4093,-73.68,82.06,25.0,0.294,LINK/USDT:USDT,C2_MTF_SWEEP,ALL,7.8e-05,1.1115,0.5628,4738.2
156,0.2692,1.129,-0.923,0.451,-0.3705,-57.8,66.18,25.0,0.276,LINK/USDT:USDT,C2_MTF_SWEEP,TRAIN,7.8e-05,1.1115,0.487,5559.66
24,0.2083,0.564,-0.984,0.151,-0.6617,-15.88,14.83,25.0,0.417,LINK/USDT:USDT,C2_MTF_SWEEP,TEST,7.8e-05,1.1115,0.1387,8522.46
623,0.451,1.16,-0.907,1.05,0.0251,15.64,78.34,25.0,0.339,LINK/USDT:USDT,C2_MTF_BASE,ALL,7.8e-05,1.1115,0.5496,11231.21
464,0.4203,1.17,-0.906,0.936,-0.0337,-15.63,78.34,25.0,0.328,LINK/USDT:USDT,C2_MTF_BASE,TRAIN,7.8e-05,1.1115,0.5496,8302.21
159,0.5409,1.138,-0.912,1.47,0.1967,31.27,36.39,24.9,0.371,LINK/USDT:USDT,C2_MTF_BASE,TEST,7.8e-05,1.1115,0.1346,13527.97
364,0.5247,1.375,-0.913,1.663,0.2874,104.63,117.4,20.8,0.503,AVAX/USDT:USDT,C1_BOS_H4v2,ALL,4.3e-05,-0.4039,0.2098,27619.05
210,0.6,1.47,-0.956,2.307,0.4998,104.96,109.73,21.0,0.438,AVAX/USDT:USDT,C1_BOS_H4v2,TRAIN,4.3e-05,-0.4039,0.0921,27995.21
154,0.4221,1.189,-0.872,0.996,-0.0022,-0.33,23.42,20.5,0.591,AVAX/USDT:USDT,C1_BOS_H4v2,TEST,4.3e-05,-0.4039,0.2098,9865.64
